"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Alcoholic malt beverage, sweetened","Beer","68","0","10.07","9.77","0","0","0","0","0","0","0","0","0","0","0","0","1","0.006","0.01","0.225","0.022","0","4","4","4","4.4","0.01","0","2.8","0","0.02","0","0","4","7","4","0.03","0.01","0.008","0.3","27","5","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","85.74"
"Alexander","Liquor and cocktails","238","1.05","18.94","15.7","0","3.83","2.313","1.082","0.218","11","31","31","0","7","0","0","0","0.013","0.068","0.093","0.016","0","1","1","1","6.3","0.06","0","0.3","0","0.08","0","0.4","35","34","4","0.05","0.15","0.024","1.2","55","23","10","0","18.2","0.08","0.065","0.041","0.098","0.113","0.371","1.066","0.402","0.08","0.947","0.007","0","0.187","0.016","0","0.006","0.001","0.002","0","57.77"
"Alfalfa sprouts, raw","Other vegetables and combinations","23","3.99","2.1","0.2","1.9","0.69","0.069","0.056","0.409","0","0","8","6","87","6","0","0","0.076","0.126","0.481","0.034","0","36","36","36","14.4","0","0","8.2","0","0.02","0","30.5","32","70","27","0.96","0.92","0.157","0.6","79","6","0","0","0","0","0","0","0","0","0.002","0.059","0.008","0","0.056","0","0","0.234","0.175","0","0","0","0","0","92.82"
"Alfredo sauce","Dips, gravies, other sauces","149","2.37","1.48","0.88","0","15.12","9.518","3.8","0.64","46","157","159","0","27","0","0","0","0.008","0.075","0.025","0.015","0","2","2","2","6.4","0.12","0","0.2","0.5","0.38","0","1.3","67","50","5","0.05","0.3","0.011","2.7","39","558","0","0","0","0.359","0.276","0.171","0.394","0.444","1.384","3.934","1.561","0.25","3.424","0.026","0.001","0.544","0.055","0","0.02","0.003","0.007","0","79.26"
"Alfredo sauce with added vegetables","Dips, gravies, other sauces","120","2.28","2.32","1.43","0.3","11.64","7.295","2.908","0.524","35","120","131","2","114","22","0","121","0.021","0.103","0.436","0.053","0","7","7","7","7.8","0.1","0","10.1","0.4","0.4","0","2","54","51","7","0.16","0.32","0.048","3","97","428","0","0","0","0.275","0.211","0.131","0.302","0.34","1.058","3.02","1.196","0.192","2.62","0.02","0.001","0.443","0.05","0","0.015","0.002","0.005","0","82.25"
"Alfredo sauce with meat","Dips, gravies, other sauces","170","6.72","1.2","0.72","0","15.44","8.943","4.493","0.613","54","128","130","0","22","0","0","0","0.015","0.094","0.971","0.08","0","3","3","3","20.3","0.6","0","0.1","0.4","0.33","0","1.4","59","77","7","0.51","1.41","0.024","6.2","88","528","0","0","0","0.292","0.224","0.139","0.32","0.363","1.215","3.872","1.643","0.318","3.989","0.031","0.001","0.513","0.055","0","0.025","0.002","0.006","0","74.96"
"Alfredo sauce with meat and added vegetables","Dips, gravies, other sauces","146","6.64","1.88","1.16","0.3","12.61","7.137","3.768","0.519","45","98","107","2","93","18","0","98","0.026","0.116","1.305","0.111","0","7","7","7","21.4","0.58","0","8.2","0.3","0.35","0","1.9","49","78","9","0.59","1.42","0.054","6.4","135","422","0","0","0","0.223","0.171","0.106","0.245","0.278","0.95","3.13","1.346","0.271","3.336","0.026","0.001","0.431","0.051","0","0.021","0.002","0.004","0","77.39"
"Alfredo sauce with poultry","Dips, gravies, other sauces","153","7.1","1.2","0.72","0","13.59","8.062","3.544","0.837","54","130","132","0","22","0","0","0","0.021","0.093","1.735","0.1","0","3","3","3","18.1","0.25","0","0.1","0.4","0.35","0","1.1","59","87","9","0.23","0.61","0.027","7.2","85","522","0","0","0","0.292","0.224","0.139","0.321","0.362","1.134","3.426","1.35","0.253","3.18","0.025","0.001","0.722","0.061","0","0.029","0.003","0.007","0.001","76.53"
"Alfredo sauce with poultry and added vegetables","Dips, gravies, other sauces","130","7.03","1.88","1.16","0.3","10.76","6.256","2.82","0.743","45","100","109","2","93","18","0","98","0.032","0.116","2.068","0.131","0","7","7","7","19.2","0.23","0","8.2","0.3","0.37","0","1.6","48","88","11","0.32","0.63","0.057","7.5","133","416","0","0","0","0.224","0.172","0.107","0.246","0.278","0.869","2.683","1.054","0.206","2.527","0.021","0.001","0.64","0.057","0","0.025","0.003","0.005","0.001","78.95"
"Alfredo sauce with seafood","Dips, gravies, other sauces","144","6.11","1.76","0.72","0","12.56","7.78","3.116","0.614","66","142","143","0","22","0","0","0","0.009","0.069","0.127","0.015","0","3","3","3","22.9","1.92","0","0.5","0.4","0.52","0","1.1","74","90","10","0.49","0.5","0.042","11.4","98","545","0","0","0","0.292","0.224","0.139","0.32","0.362","1.126","3.221","1.283","0.208","2.798","0.023","0.001","0.45","0.048","0.001","0.022","0.036","0.012","0.034","77.63"
"Alfredo sauce with seafood and added vegetables","Dips, gravies, other sauces","120","6.04","2.43","1.16","0.3","9.74","5.974","2.391","0.52","57","112","120","2","93","18","0","98","0.02","0.091","0.461","0.046","0","7","7","7","24","1.9","0","8.6","0.3","0.54","0","1.6","64","91","12","0.58","0.52","0.072","11.6","145","440","0","0","0","0.223","0.171","0.106","0.245","0.277","0.861","2.478","0.986","0.161","2.144","0.018","0.001","0.368","0.044","0.001","0.018","0.036","0.01","0.034","80.05"
"Almond butter","Nuts and seeds","614","20.96","18.82","6.27","10.3","55.5","6.55","32.445","13.613","0","0","0","0","1","0","0","1","0.041","0.939","3.155","0.103","0","53","53","53","52.1","0","0","0","0","24.21","0","0","347","508","279","3.49","3.29","0.934","2.4","748","227","0","0","0","0","0","0","0","0","0.011","5.036","1.48","0.248","32.143","0.019","0","13.605","0.007","0","0","0","0","0","1.64"
"Almond butter, lower sodium","Nuts and seeds","614","20.96","18.82","6.27","10.3","55.5","6.55","32.445","13.613","0","0","0","0","1","0","0","1","0.041","0.939","3.155","0.103","0","53","53","53","52.1","0","0","0","0","24.21","0","0","347","508","279","3.49","3.29","0.934","2.4","748","115","0","0","0","0","0","0","0","0","0.011","5.036","1.48","0.248","32.143","0.019","0","13.605","0.007","0","0","0","0","0","1.64"
"Almond chicken","Stir-fry and soy-based sauce mixtures","197","16.07","4.69","1.44","1.2","13.3","1.969","6.401","3.938","57","4","19","2","160","41","0","50","0.051","0.212","4.616","0.181","0","15","15","16","39.9","0.21","0","10.9","0","2.8","0","14.6","36","172","38","0.87","1.16","0.143","12.7","260","335","0","0","0","0","0","0","0","0","0.02","1.497","0.406","0.277","6.082","0.033","0","3.643","0.28","0","0.011","0","0","0","64.65"
"Almond milk, sweetened","Milk substitutes","30","0.38","5.24","4.77","0.2","0.93","0.077","0.566","0.23","0","86","86","0","0","0","0","0","0","0.01","0.067","0","0","1","1","1","3","0","0","0","1","2.7","2.7","0","177","9","6","0.27","0.06","0.019","0.1","64","69","0","0","0","0","0","0","0","0","0.003","0.063","0.018","0.005","0.54","0","0","0.242","0","0","0","0","0","0","92.68"
"Almond milk, sweetened, chocolate","Milk substitutes","41","0.43","8.34","7.72","0.3","0.95","0.098","0.561","0.224","0","83","83","0","0","0","0","0","0","0.011","0.071","0","0","1","1","1","2.9","0","0","0","0.9","2.61","2.6","0","171","11","7","0.3","0.08","0.03","0.2","67","67","1","6","0","0","0","0","0","0","0.003","0.072","0.03","0.005","0.536","0","0","0.235","0","0","0","0","0","0","89.52"
"Almond milk, unsweetened","Milk substitutes","15","0.4","1.31","0.81","0.2","0.96","0.08","0.59","0.24","0","90","90","0","0","0","0","0","0","0.01","0.07","0","0","1","1","1","3.1","0","0","0","1","2.81","2.81","0","184","9","6","0.28","0.06","0.02","0.1","67","72","0","0","0","0","0","0","0","0","0.003","0.066","0.019","0.005","0.563","0","0","0.252","0","0","0","0","0","0","96.54"
"Almond milk, unsweetened, chocolate","Milk substitutes","16","0.46","1.48","0.81","0.3","1","0.104","0.602","0.241","0","90","90","0","0","0","0","0","0","0.011","0.076","0","0","1","1","1","3.1","0","0","0","1","2.8","2.8","0","184","11","7","0.32","0.08","0.031","0.1","71","72","1","6","0","0","0","0","0","0","0.003","0.077","0.032","0.005","0.575","0","0","0.253","0","0","0","0","0","0","96.26"
"Almond oil","Salad dressings and vegetable oils","884","0","0","0","0","100","8.2","69.9","17.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0","0","0","0","39.2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.5","1.7","0.6","69.4","0","0","17.4","0","0","0","0","0","0","0"
"Almond paste","Nuts and seeds","458","9","47.81","36.25","4.8","27.74","2.629","18.012","5.821","0","0","0","0","0","0","0","1","0.082","0.414","1.422","0.036","0","73","73","73","28.5","0","0","0.1","0","13.54","0","0","172","258","130","1.6","1.48","0.454","4.2","314","9","0","0","0","0","0","0","0","0.003","0.158","1.836","0.542","0.162","17.68","0.027","0","5.576","0.199","0","0","0","0","0","14.08"
"Almonds, chocolate covered","Candy containing chocolate","566","17.1","32.9","18.5","9.8","43.85","8.214","24.242","9.043","7","18","18","0","1","0","0","2","0.177","0.886","2.648","0.107","0","34","34","34","50.3","0.22","0","0","0","18.09","0","1.7","245","399","208","3.3","2.87","0.869","4.2","625","24","6","62","0","0.107","0.03","0.033","0.074","0.076","0.357","4.658","2.844","0.289","23.729","0.004","0","8.992","0.039","0","0","0","0","0","3.54"
"Almonds, flavored","Nuts and seeds","599","20.07","20.12","4.65","10.4","53.27","4.323","32.912","13.625","0","0","0","0","1","0","0","1","0.074","1.146","3.483","0.13","0","53","53","53","49.9","0","0","0","0","23.23","0","3.5","257","451","267","3.58","3.17","1.052","1.9","683","500","0","0","0","0","0","0","0","0","0.018","3.495","0.769","0.259","32.58","0.019","0","13.465","0.16","0","0","0","0","0","2.31"
"Almonds, honey roasted","Nuts and seeds","574","14.11","35.84","25.01","7.3","45.34","4.109","26.416","12.8","0","0","0","0","1","0","0","1","0.052","0.81","2.449","0.092","0","37","37","37","35.1","0","0","0","0","17.25","0","11.7","181","317","188","2.54","2.23","0.741","1.5","481","385","0","0","0","0","0","0","0","0","0.013","3.22","0.791","0.21","26.12","0.045","0","12.292","0.509","0","0","0","0","0","1.63"
"Almonds, lightly salted","Nuts and seeds","604","20.23","20.28","4.69","10.5","53.7","4.358","33.174","13.733","0","0","0","0","1","0","0","1","0.074","1.155","3.51","0.131","0","53","53","53","50.3","0","0","0","0","23.42","0","3.5","259","455","269","3.6","3.2","1.061","1.9","688","195","0","0","0","0","0","0","0","0","0.018","3.523","0.775","0.261","32.84","0.019","0","13.572","0.161","0","0","0","0","0","2.33"
"Almonds, NFS","Nuts and seeds","598","20.96","21.01","4.86","10.9","52.54","4.092","33.076","12.955","0","0","0","0","1","0","0","1","0.077","1.197","3.637","0.136","0","55","55","55","52.1","0","0","0","0","23.9","0","0","268","471","279","3.73","3.31","1.099","2","713","3","0","0","0","0","0","0","0","0","0.019","3.348","0.704","0.259","32.754","0.007","0","12.945","0.01","0","0","0","0","0","2.41"
"Almonds, salted","Nuts and seeds","601","20.13","20.18","4.67","10.5","53.43","4.336","33.01","13.665","0","0","0","0","1","0","0","1","0.074","1.15","3.493","0.131","0","53","53","53","50","0","0","0","0","23.3","0","3.5","258","452","268","3.59","3.18","1.055","1.9","685","386","0","0","0","0","0","0","0","0","0.018","3.505","0.771","0.259","32.677","0.019","0","13.505","0.16","0","0","0","0","0","2.32"
"Almonds, sugar-coated","Candy not containing chocolate","465","10","68.26","62.5","2.5","17.93","1.948","12.078","3.904","0","0","0","0","2","0","0","1","0.05","0.27","1","0.06","0","15","15","15","26","0","0","0","0","12.36","0","0","100","166","137","1.9","1.56","0.586","1.7","255","13","0","0","0","0","0","0","0","0.002","0.106","1.476","0.364","0.09","11.988","0","0","3.904","0","0","0","0","0","0","2.3"
"Almonds, unroasted","Nuts and seeds","579","21.15","21.55","4.35","12.5","49.93","3.802","31.551","12.329","0","0","0","0","1","0","0","1","0.205","1.138","3.618","0.137","0","44","44","44","52.1","0","0","0","0","25.63","0","0","269","481","270","3.71","3.12","1.031","4.1","733","1","0","0","0","0","0","0","0","0","0.003","3.083","0.704","0.239","31.294","0.005","0","12.324","0.003","0","0","0","0","0","4.41"
"Almonds, unsalted","Nuts and seeds","607","20.33","20.38","4.71","10.6","53.96","4.38","33.34","13.802","0","0","0","0","1","0","0","1","0.075","1.161","3.528","0.132","0","53","53","53","50.5","0","0","0","0","23.54","0","3.5","260","457","271","3.62","3.21","1.066","1.9","692","3","0","0","0","0","0","0","0","0","0.018","3.54","0.779","0.262","33.004","0.019","0","13.64","0.162","0","0","0","0","0","2.34"
"Almonds, yogurt-covered","Candy not containing chocolate","548","12.75","44.86","36.26","5.6","37.32","14.968","14.487","5.836","1","1","1","0","0","0","0","0","0.127","0.656","1.713","0.092","0","24","24","24","37.1","0.36","0","0.3","0","12.14","0","5.2","234","303","131","1.75","1.79","0.468","4.4","489","49","0","0","0","0.014","0.024","0.373","0.466","7.978","2.836","2.636","0.631","0.109","14.37","0.002","0","5.809","0.027","0","0","0","0","0","3.04"
"Aloe vera juice drink","Other fruit juice","15","0","3.75","3.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.8","0","0","0","0","8","0","0","0.15","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.23"
"Ambrosia","Other fruits and fruit salads","70","0.9","16.16","11.62","2.3","0.96","0.748","0.056","0.047","0","0","7","11","49","55","0","66","0.071","0.044","0.424","0.138","0","24","24","24","7.8","0","0","40.1","0","0.12","0","0.3","24","16","15","0.24","0.12","0.078","0.7","200","1","0","0","0","0","0.005","0.056","0.045","0.358","0.142","0.098","0.044","0.004","0.052","0","0","0.033","0.014","0","0","0","0","0","81.51"
"Anchovy, canned","Fish","210","28.89","0","0","0","9.71","2.203","3.77","2.562","85","12","12","0","0","0","0","0","0.078","0.363","19.903","0.203","0","13","13","13","85","0.88","0","0","1.7","3.33","0","12.1","232","252","69","4.63","2.44","0.339","68.1","544","3668","0","0","0","0","0","0","0","0.02","0.428","1.326","0.42","0.59","2.942","0.009","0.163","0.362","0.017","0.078","0.01","0.763","0.041","1.292","50.3"
"Anchovy, cooked, NS as to cooking method","Fish","210","28.89","0","0","0","9.71","2.203","3.77","2.562","85","12","12","0","0","0","0","0","0.078","0.363","19.903","0.203","0","13","13","13","85","0.88","0","0","1.7","3.33","0","12.1","232","252","69","4.63","2.44","0.339","68.1","544","3668","0","0","0","0","0","0","0","0.02","0.428","1.326","0.42","0.59","2.942","0.009","0.163","0.362","0.017","0.078","0.01","0.763","0.041","1.292","50.3"
"Animal fat or drippings","Butter and animal fats","841","2.23","0","0","0","92.18","35.58","41.249","10.052","93","0","0","0","0","0","0","0","0.006","0.01","0.32","0.029","0","0","0","0","53.2","0.19","0","0","2.2","0.64","0","0.6","5","13","1","0.23","0.34","0.008","1.8","21","604","0","0","0","0","0","0","0.126","0.197","1.467","21.964","11.511","2.994","37.264","0.797","0","9.018","1","0","0.012","0","0.003","0","3.91"
"Anisette toast","Cookies and brownies","426","10.1","74.2","12.5","2.5","9.7","2.525","4.244","2.073","8","15","16","0","4","1","0","16","0.208","0.239","1.319","0.082","67","20","134","87","10.7","0","0","5.3","0","2.44","2.32","0.9","20","55","14","0.6","0.54","0.145","28.7","305","227","0","0","0","0.1","0.059","0.035","0.077","0.088","0.314","1.194","0.59","0.129","4.104","0.012","0","2.007","0.065","0","0.001","0","0","0","4.5"
"Antipasto with ham, fish, cheese, vegetables","Meat mixed dishes","158","11.62","3.88","1.51","1.1","10.69","4.634","3.746","1.078","39","54","288","1032","2293","5","0","217","0.108","0.179","3.36","0.169","0","11","11","11","28.9","0.5","0","1.5","0.4","1.03","0","8.4","178","181","22","0.86","1.47","0.073","18.9","244","869","0","0","0","0.104","0.087","0.055","0.139","0.158","0.593","2.4","0.978","0.241","3.511","0.04","0.019","0.779","0.046","0.008","0.028","0.078","0.01","0.129","70.61"
"Apple cider","Apple juice","46","0.1","11.3","9.62","0.2","0.13","0.022","0.006","0.039","0","0","0","0","0","0","0","16","0.021","0.017","0.073","0.018","0","0","0","0","1.8","0","0","0.9","0","0.01","0","0","8","7","5","0.12","0.02","0.012","0.1","101","4","0","0","0","0","0","0","0","0","0.001","0.018","0.002","0","0.005","0","0","0.033","0.007","0","0","0","0","0","88.24"
"Apple juice beverage, 40-50% juice, light","Fruit drinks","22","0","5.1","4.8","0","0.1","0","0","0","0","0","0","0","0","0","0","16","0.004","0.015","0.067","0.018","0","0","0","0","1.8","0","0","24","0","0.01","0","0","3","9","5","0.2","0.04","0.01","0.1","51","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","94.84"
"Apple juice, 100%","Apple juice","46","0.1","11.3","9.62","0.2","0.13","0.022","0.006","0.039","0","0","0","0","0","0","0","16","0.021","0.017","0.073","0.018","0","0","0","0","1.8","0","0","10.3","0","0.01","0","0","8","7","5","0.12","0.02","0.012","0.1","101","4","0","0","0","0","0","0","0","0","0.001","0.018","0.002","0","0.005","0","0","0.033","0.007","0","0","0","0","0","88.24"
"Apple juice, 100%, with calcium added","Apple juice","48","0.12","11.49","9.47","0.3","0.17","0.029","0.008","0.051","0","0","0","0","0","0","0","16","0.004","0.015","0.067","0.018","0","0","0","0","1.8","0","0","30.3","0","0.01","0","0","70","9","5","0.13","0.04","0.01","0.1","184","5","0","0","0","0","0","0","0","0","0.002","0.023","0.003","0","0.006","0","0","0.043","0.009","0","0","0","0","0","87.92"
"Apple juice, baby food","Baby juice","47","0","11.7","10.7","0.1","0.1","0.018","0.002","0.031","0","0","1","0","8","6","0","16","0.007","0.016","0.083","0.029","0","0","0","0","1.8","0","0","57.9","0","0.6","0","0","4","5","3","0.57","0.03","0.04","0.1","91","8","0","0","0","0","0","0","0","0","0","0.016","0.002","0","0.002","0","0","0.027","0.004","0","0","0","0","0","88"
"Apple juice, with added calcium, baby food","Baby juice","46","0.06","11.1","9","0.4","0.1","0.018","0.005","0.032","0","0","0","0","0","0","0","0","0.02","0.02","0.08","0.03","0","0","0","0","1.8","0","0","21.2","0","0","0","0","127","8","6","0.2","0.03","0.01","0.1","92","3","0","0","0","0","0","0","0","0","0.001","0.014","0.002","0","0.004","0","0","0.027","0.006","0","0","0","0","0","88.3"
"Apple pie filling","Apples","100","0.1","26.1","13.8","1","0.1","0","0","0","0","0","2","0","10","8","0","11","0.012","0.011","0.035","0.016","0","0","0","0","2.8","0","0","1.7","0","0.04","0","0.5","4","7","2","0.29","0.04","0.055","0.3","45","47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.4"
"Apple salad with dressing","Other fruits and fruit salads","172","1.48","12.15","8.89","2.1","13.92","1.906","2.719","8.835","5","2","6","0","42","7","0","50","0.047","0.043","0.182","0.081","0","12","12","12","10.2","0.02","0","3.5","0","0.61","0","26.3","16","37","16","0.37","0.27","0.15","0.7","144","86","0","0","0","0","0","0","0","0","0.008","1.311","0.503","0.011","2.661","0.039","0.003","7.518","1.307","0","0.006","0","0","0.001","71.84"
"Apple yogurt dessert, baby food, strained","Baby food: yogurt","93","0.8","19.5","12.02","0.5","1.6","1.034","0.438","0.044","6","2","3","0","7","5","0","7","1.56","0.05","0","0.02","0","9","9","9","5.4","0.5","0","35.1","0","0.02","0","0.2","6","31","15","0","0.28","0.05","0.7","70","20","0","0","0","0.049","0.035","0.02","0.044","0.054","0.167","0.438","0.158","0.035","0.364","0","0","0.03","0.015","0","0","0","0","0","77.9"
"Apple, baked","Apples","112","0.32","22.7","18.99","2.5","3.04","1.812","0.834","0.16","8","24","27","0","30","10","0","26","0.015","0.027","0.097","0.045","0","2","2","2","4.5","0.01","0","3.9","0","0.27","0","2.6","14","13","6","0.19","0.05","0.03","0.1","114","4","0","0","0","0.114","0.071","0.042","0.089","0.091","0.264","0.791","0.356","0.064","0.727","0.004","0","0.11","0.051","0","0","0","0","0","73.63"
