"Nº","ALIMENTOS","ESTADO","CALORIAS","PROTEINA","GRASA","CARBOHIDRATOS","AGUA","CENIZAS","A (UI)","B1 (mcg/100)","B2 (mcg/100)","C (mcg/100)","Niac (mcg/100)","Na (mg/100g)","K  (mg/100g)","Ca  (mg/100g)","Mg  (mg/100g)","Fe  (mg/100g)","Cu  (mg/100g)","P  (mg/100g)","S  (mg/100g)","Cl  (mg/100g)","Fen  (mg/100g)","Ileu  (mg/100g)","Leu  (mg/100g)","Lis  (mg/100g)","Met  (mg/100g)","Tre  (mg/100g)","Tri  (mg/100g)","Val  (mg/100g)","ACIDEZ","ALCAINIDAD"
"137","salsifi","cocidos","18","1.90","","2.18","94.3","","","","","","","8.40","183.00","60","14.20","1.23","0.12","53.00","25.00","46.00","","","","","","","","","","29"
"138","seta","cruda","17","1.90","0.30","3.80","92.8","","","35.00","250.00","6000.00","3000.00","5.00","520.00","7.20","","0.90","","95.00","","","","528","291","","172","","6","372","",""
"139","seta","frita","217","2.20","24.30","5.80","67.2","","","60.00","","","","11.00","568.00","3.5","16.00","1.25","0.66","166.00","73.80","103.00","","","","","","","","","16",""
"140","tomate","cruda","21","1.30","0.25","4.00","93.6","0.60","1300.00","70.00","40.00","27000.00","450.00","3.00","258.00","11.50","13.00","0.50","0.90","24.00","12.20","48.00","30.00","31.00","39.00","40.00","7.00","35.00","10.00","27.00","","55.00"
"141","tomate","cocida","19","1.00","0.10","3.80","94.5","0.40","1000.00","60.00","30.00","16000.00","700.00","20.00","220.00","11.00","12.00","0.60","0.09","22.00","14.00","63.00","","","","","","","","","",""
"142","tomate","frito","73","2.30","6.20","4.20","86.5","0.31","","","","","","3.30","277.00","36","12.40","0.56","0.10","23.00","7.90","","","","","","","","","","",""
"143","tomate","jugo","18","0.80","1.20","3.50","93.6","1.00","1050.00","50.00","30.00","16000.00","800.00","126.00","270.00","7.00","10.00","0.40","","15.00","5.00","39.00","","","","","","","","","",""
"144","trufa","fresca","63","7.60","0.50","6.60","82.1","","","","","","","77.00","400.00","24","18.00","","","62.00","","","","","","","","","","","",""
"145","trufa","seca","260","36.90","2.00","28.90","6.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"146","verduras (medio)","crudas","23","1.30","0.20","38.00","","","2500.00","100.00","100.00","35000.00","600.00","","","49.00","","","","","","","","","","","","","","","",""
"147","zanahoria","cruda","40","1.10","0.30","8.80","88.80","0.70","11000.00","75.00","70.00","6000.00","500.00","76.00","281.00","44.00","15.00","0.80","0.90","34.00","17.00","54.00","39.00","43.00","67.00","49.00","9.00","38.00","9.00","58.00","","98.00"
"148","zanahoria","cocida","27","0.80","0.40","6.1","91.6","0.25","9000.00","32.00","28","2000","470.00","80.00","107.00","32.00","7.60","0.60","0.08","24.00","8.00","29.20","","","","","","","","","","53"
"149","aceitunas sevillanas","","181","2.9","24.8","4.7","67","0.34","350","8","","","","1500.00","300.00","82.00","14.00","1.50","0.18","15.00","29.50","","","","","","","","","","30",""
"150","albaricoque","crudo","45","0.8","0.6","9.9","88","0.4","2800","30","80","6800","700","5.00","294.00","15.80","11.30","0.50","0.11","21.00","6.00","1.20","","","","","","","","","","76"
"151","albaricoque","conserva","72","0.5","0.3","18","80.6","0.5","1200","18","20","4000","300","1.50","135.00","10.00","7.20","0.50","0.05","14.00","1.00","1.50","","","","","","","","","","69"
"152","albaricoque","jugo","50","0.45","0.7","11.8","86.4","0.5","1100","8","13","900","240","3.50","98.00","8.20","","0.30","","11.80","","","","","","","","","","","",""
"153","arandano","crudo","53","0.8","0.6","13.1","85.1","0.5","270","70","37","12000","220","1.40","79.00","14.00","9.30","0.80","0.14","11.80","11.00","8.00","","","","","","","","","","27"
"154","cerezas","crudas","65","1.3","0.6","15.9","81.6","0.45","670","50","55","8000","320","2.50","267.00","17.50","10.20","0.40","0.07","21.00","6.80","0.90","","","","","","","","","","67"
"155","cerezas","cocidas","23","0.8","0.4","9.1","89.2","","300","30","20","6000","200","1.50","108.00","7.10","4.10","0.11","0.04","7.40","2.80","0.10","","","","","","","","","","29"
"156","ciruelas","crudas","58","0.75","0.3","15.5","82.5","0.55","300","110","40","5000","500","0.80","195.00","17.00","8.50","0.40","0.08","21.00","3.00","1.50","","","","","","","","","","77"
"157","ciruelas","crudas","71","0.4","","19.5","80","","","35","85","1000","400","7.00","240.00","25.00","","1.30","","40.00","","","","","","","","","","","",""
"158","frambuesas","crudas","45","1.1","0.5","11.1","86","1.2","160","38","65","27000","300","2.50","180.00","40.00","22.00","1.60","0.70","31.00","17.80","22.00","","","","","","","","","","64"
"159","frambuesas","crudas","38","0.2","","10.6","89","","100","25","41","15000","250","","","23.00","","0.80","","11.00","","","","","","","","","","","",""
"160","fresa","jugop","40","0.8","0.6","8.9","88.8","0.7","63","30","70","58000","280","1.80","161.00","27.00","11.80","0.80","0.12","26.00","12.00","15.00","","","","","","","","","","43"
"161","freson","crudas","25","1.8","0.1","5.3","92","0.5","60","20","45","20000","","0.80","212.00","31.60","10.60","0.43","0.11","29.70","12.60","23.20","","","","","","","","","","50"
"162","granada","crudas","60","2.5","0.8","16.2","80.3","0.3","","","10","5000","100","0.90","204.00","5.60","3.10","0.80","0.07","9.80","4.20","52.50","","","","","","","","","","35"
"163","grosella","crudas","42","1.3","0.2","9.5","88.2","0.6","230","60","140","30000","","2.00","230.00","28.30","10.20","0.70","0.13","35.00","21.00","10.10","","","","","","","","","","27"
"164","guindas","crudas","55","0.66","","13.3","85.6","0.36","40","35","","4000","","3.20","318.00","14.10","7.40","0.26","0.05","21.30","12.30","0.20","","","","","","","","","","38"
"165","higo comun","crudas","69","1.3","0.4","16.1","81.9","0.1","78","80","65","2000","540","3.00","218.00","44.00","20.00","0.70","0.06","33.00","12.00","17.00","","","","","","","","","","69"
"166","limon","crudas","36","1","1.5","9.3","87.8","0.4","140","50","35","50000","150","6.00","142.00","58.00","10.20","0.40","0.26","19.50","10.20","5.10","","","","","","","","","","85"
"167","limon","crua","25","0.5","0.3","8.1","91","0.2","30","45","30","45000","100","1.50","142.00","12.50","6.60","0.20","0.13","10.70","2.00","2.60","","","","","","","","","","38"
"168","majuela","zumo","131","4.1","","24.6","","0.3","10000","","7","400000","","24.90","244.00","49.00","140.00","4.00","","48.00","36.00","7.90","","","","","","","","","","152"
"169","mandarina","jugo","33","1.2","0.9","10.8","86.5","0.4","580","60","","29000","","","","","","","","","","","","","","","","","","","",""
"170","mango","crudos","66","0.7","0.2","17.2","","","6350","60","60","41000","900","","","9.00","","0.20","","13.00","","","","","","","","","","","",""
"171","manzana","crudos","52","0.3","0.4","13.8","84.8","0.25","70","38","40","7500","300","5.7","95.00","5.50","6.00","0.30","0.09","8.90","4.70","2","9","14.00","13.00","11.00","4.00","7.00","","8.00","","32"
"172","manzana","crudo","102","0.8","0.5","27","70.3","1.3","","24","24","2400","240","2.2","128.00","4.20","3.00","0.30","0.09","11.90","","","","","","","","","","","",""
"173","manzana","asada","52","0.5","","13.8","84.9","0.3","40","16","32","900","","4","100.00","6.00","","2.50","","10.00","","","","","","","","","","","",""
"174","melocoton","jugo","48","0.7","0.2","12.1","96.7","0.3","950","40","55","8000","800","2","180.00","7.00","9","0.50","0.05","19.00","6.50","3","","","","","","","","","","55"
"175","melocoton","crudo","68","0.4","0.1","18.2","81","0.3","480320","10","21","4200","700","2","110.00","6.00","6.30","0.90","0.06","17.00","1.00","4.2","","","","","","","","","","41"
"176","melocoton","conserva","49.6","0.32","0.1","13.4","86","","2600","8","8","800","300","2.9","","4.50","","0.20","","7.30","","","","","","","","","","","",""
"177","melon","jugo","29","0.4","0.2","6.4","92.8","0.2","","47","56","13000","400","12","242.00","17.00","15","0.60","0.04","21.00","13.00","46","","","","","","","","","","54"
"178","membrillo","crudo","42","0.6","0.93","11.4","86.5","0.46","130","","","","","3.2","203.00","13.90","6","0.32","0.13","19.00","5.20","1.9","","","","","","","","","","49"
"179","mora","crudo","56","1.1","0.9","10.2","87","0.6","","30","40","198000","350","3.5","180.00","40.00","26","0.90","0.12","31.00","14.00","18","","","","","","","","","","68"
"180","mora","crudo","15","0.7","","3.2","91","","80","","","","","1.9","104.00","32.00","14.8","0.43","0.06","11.90","4.60","11.8","","","","","","","","","","42"
"181","mora","cocidas","32","3","","7.5","","","250","25","30","","","0.7","156.00","","","","","","","","","","","","","","","","",""
"182","naranja","juego","45","0.8","0.2","10.5","87.1","1.2","225","88","42","50000","200","2.9","175.00","36.00","12.9","0.40","0.07","23.00","8.50","3.6","","","","20","4","","3","","","58"
"183","naranja","crudas","44","0.7","0.2","10.1","87.2","1.6","2700","90","40","42000","240","0.9","184.00","22.00","11.5","0.30","0.06","17.00","6.00","2.3","","","","","","","","","","55"
"184","nispero","zumo","80","0.8","0.8","22.3","75.8","0.2","18","40","45","10000","","6","258.00","22.00","9.5","0.35","0.17","24.00","11.00","3.1","","","","","","","","","","60"
"185","peras","crudo","58","0.7","0.4","16.8","81.2","0.8","","40","55","4000","150","4","125.00","12.00","9","0.30","0.13","15.00","6.20","2.3","","","","","","","","","","36"
"186","peras","crudos","90","1.3","","22.6","75","1.1","5","10","","","","1.7","70.00","5.00","2.9","0.11","0.08","10.20","2.40","1.1","","","","","","","","","","15"
"187","peras","asadas","75","0.8","0.1","25.2","73","0.8","","10","20","2100","130","3","71.00","8.10","5.9","1.20","0.04","8.20","3.2","2.8","","","","","","","","","","19"
"188","peras","conserva","51","0.3","0.08","13.7","84.8","0.8","110","8","8","800","80","1","","5.60","","0.40","","7.20","","","","","","","","","","","",""
"189","piña","nectar","51","0.45","0.2","13.6","84.5","1.5","80","76","31","22000","210","1.1","228.00","14.00","15","0.30","0.08","9.70","5.10","35","","","","11","6","","6","","","69"
"190","piña","crudas","76","0.4","0.1","19.8","78","1.1","75","65","20","8900","190","0.7","97.00","28.00","8.1","0.70","0.05","7.00","2.70","4.2","","","","","","","","","","22"
"191","piña","conserva","51","0.3","0.1","13.1","85","0.4","300","66","18","8500","150","0.9","140.00","15.00","","0.50","","8.00","","","","","","","","","","","",""
"192","platano","jugo crudo","91","1.2","0.3","21.8","75.8","0.8","32","63","60","9000","600","1.5","321.00","7.30","38","0.50","0.16","22.00","10.80","78","38","71.00","101.00","61.00","9.00","51.00","12.00","84.00","","61"
"193","ruibardo","crudo","16","0.5","0.1","3.8","95.5","0.1","590","30","","8500","100","2.2","425.00","72.00","13.6","0.45","0.13","24.00","10.20","14.2","","","","","","","","","","78"
"194","sandia","crudo","31","0.5","0.2","6.9","92.1","","16","50","50","6000","200","0.3","121.00","7.00","10","0.20","","12.00","9.00","8","","","","","","","","","","27"
"195","toronja","crudo","32","0.6","0.2","8","90.2","1.2","60","50","35","40000","200","1.8","212.00","17.00","10","0.30","0.06","17.00","6.40","2.2","","","","","","","","","","51"
"196","uva blanca","crudo","74","0.8","1","17","81.3","0.55","21","52","33","5000","300","1.6","248.00","18.00","6.7","0.40","0.10","18.00","8.80","1.5","","","","","","","","","","42"
"197","uva negra","crudo","110","1.47","","26","72.3","0.21","","50","50","40000","","1.4","265.00","3.50","3.4","0.29","0.07","13.50","6.20","0.2","","","","","","","","","","58"
"198","uva (jugo)","fresco","38","2.5","0.1","8","89.2","","","40","20","40000","160","0.64","160.00","8.00","","0.30","","11.00","","","","","","","","","","","",""
"199","uva (jugo)","conserva","67","1.8","","18","80","","","40","50","","180","2.1","180","16.00","","0.4","","18","","","","","","","","","","","",""
"200","albaricoque","seco","268","5.3","0.4","67.6","24.6","2.1","7400","14","128","11000","3200","37.00","1700.00","88.00","65.20","4.60","0.27","118.00","164.00","34.50","","","","","","","","","","510"
"201","almendras","seco","612","19.7","54.5","17.6","5.4","2.8","395","195","670","6500","4600","(1) 4,5","750.00","250.00","252.00","4.30","0.14","453.00","145.00","10.50","1140","865.00","1430.00","572.00","248.00","607.00","168.00","1130.00","","148"
"202","avellana","seco","620","15.5","62.2","15.5","6.3","0.31","320","430","300","6000","300","(2) 12","420.00","240.00","99.00","3.80","0.21","317.00","138.00","38.00","","","","","","","","","39",""
"203","cacahuete","seco","550","26.1","44.2","20","8","2.2","208","510","150","1000","12000","8.00","535.00","61.00","160.00","2.10","0.22","367.00","268.00","5.40","","","","","","","","","98",""
"204","cacahuete","tostado","610","26.5","48.1","18.3","4.3","2.8","3","400","145","","21000","200.00","680.00","62.00","171.00","2.30","0.23","382.00","258.00","28.00","1590","1343.00","2008.00","1190.00","310.00","882.00","358.00","1595.00","76",""
"205","cacao","polvo","340","26","18.8","38","8.1","","","90","450","","1500","(3) 60","900.00","135.00","420.00","2.70","4.30","709.00","203.00","51.00","","","","","","","","","",""
"206","castaña seca","cruda","350","8.2","3.5","75.3","12.3","0.32","400","380","390","30000","800","(4) 18","1000.00","98.00","138.00","3.90","0.23","230.00","135.00","42.00","","","","","","","","","","113"
"207","castaña tierna","cruda","188","3.2","2.5","40","54.1","0.1","","80","240","25000","1000","12.1","600.00","38.00","42.00","2.50","","70.00","48.00","","","","","","","","","","","100"
"208","ciruela pasa","cruda","262","2.4","0.6","72","23","1.8","1400","150","170","3000","1300","6","610.00","52.00","31.00","3.20","0.15","78.00","20.80","3.3","","","","","","","","","","155"
"209","coco","fresco","350","3.8","34.8","14.8","45.6","0.8","","68","180","39000","1100","37","397.00","16.00","45.00","4.10","0.32","110.00","38.00","114","171","181.00","259.00","148.00","70.00","122.00","33.00","195.00","","49"
"210","coco","leche","25","0.4","0.2","5.8","93.1","0.14","","","","","","96","312.00","27.00","30.00","0.10","1.04","32.00","29.00","183","","","","","","","","","","75"
"211","coco","seco","580","4.7","48","41.3","4.8","0.9","","","","","","31","720.00","39.00","83.00","3.70","0.55","188.00","76.00","196","159","170.00","259.00","148.00","71.00","120.00","38.00","198.00","","85"
"212","datiles","secos","271","2.2","0.6","72","24","0.9","160","75","80","","2000","(5) 4,1","719.00","66.00","58.00","1.60","0.19","59.00","51.00","278","59","69.00","74.00","65.00","29.00","61.00","58.00","91.00","","111"
"213","higos","secos","280","3.9","1.3","67.2","26","1.6","70","145","100","","1500","47","890.00","212.00","86.00","3.4","0.24","91.50","75.00","140","","","","","","","","","","271"
"214","melocoton","secos","253","3","0.5","63","0","3.14","3100","11","200","19000","5400","11","1150.00","42.00","54.10","6.75","0.63","124.00","240.00","10.5","","","","","","","","","","121"
"215","nuez","secos","643","17.8","57.6","17.6","5.3","0.52","400","370","135","11000","900","(6) 4,7","520.00","81.00","185.00","2.90","0.31","410.00","146.00","39","772","772.00","1217.00","451.00","308.00","591.00","182.00","1010.00","","89"
"216","piñones","secos","310","26.4","40","29.2","6.7","0.5","30","480","130","3000","1200","","","","","","","","","","","","","","","","","","",""
"217","uva","pasa","288","3.1","0.9","69.2","25.4","0.9","70","150","90","","500","22","568.00","61.00","36.00","3.00","0.23","105.00","23.00","8.5","","","","","","","","","","209"
"218","helado","","206","3.9","12","21","","","500","40","180","1200","600","80","135","138","58","0.1","","115","","","","","","","","","","","",""
"219","leche de burra","fresca","42","1.7","1.5","5.8","90.5","0.5","","","","","","","","","","","","","","","","","","","","","","","",""
"220","leche de cabra","fresca","68.00","3.60","4.40","4.50","86.80","0.60","120.00","47.00","107.00","1800.00","290.00","48.00","202.00","128.00","13.80","0.20","","98.00","37.00","14.00","119","91","282","309","67","221","41","142","","87"
"221","leche de mujer","fresca","68.00","1.50","3.80","6.90","88.00","0.30","250.00","27.00","80.00","4800.00","230.00","26.00","91.20","47.00","8.50","0.16","0.15","42.00","33.00","73.00","59","76","125","89","30","59","24","85","","26"
"222","leche deoveja","fresca","86.00","5.60","5.50","5.70","82.40","0.64","50.00","20.00","100.00","3500.00","","67.00","201.00","240.00","18.50","0.13","0.03","152.00","56.70","99.00","","","","","","","","","","40"
"223","leche de vaca","fresca","68.00","3.50","3.80","5.00","87.50","0.50","140.00","40.00","183.00","1500.00","100.00","50.00","140.00","120.00","14.50","0.10","0.02","95.00","28.00","98.00","169","219","349","268","89","163","49","238","","35"
"224","leche de vaca","desnatada","36.00","3.60","0.10","4.90","90.50","0.60","19.00","40.00","173.00","1500.00","100.00","44.00","140.00","120.00","14.50","0.10","0.02","93.00","18.00","91.00","159","209","319","248","79","153","47","290","","31"
"225","leche de vaca","concent.","157.00","7.60","8.60","11.10","71.00","1.50","400.00","50.00","380.00","1000.00","200.00","142.00","395.00","280.00","34.80","0.20","0.11","223.00","75.00","277.00","338","450","688","550","169","319","100","479","","84"
"226","leche vaca condens.","con azucar","348.00","8.10","8.90","54.80","27.00","0.90","410.00","64.00","390.00","1000.00","200.00","143.00","380.00","285.00","36.00","0.20","0.08","238.00","83.00","284.00","361","469","731","580","179","339","98","511","","68"
"227","leche de vaca","total seca","510.00","26.80","27.90","38.80","4.80","1.30","1450.00","300.00","1500.00","6000.00","800.00","400.00","1200.00","965.00","112.00","0.60","0.16","745.00","234.00","784.00","1331","1739","2708","2131","681","1358","381","1881","","130"
"228","leche vaca cond. Desn.","seca","356.00","36.80","1.30","53.90","6.80","1.20","40.00","330.00","1800.00","6800.00","100.00","570.00","1280.00","1290.00","111.00","0.55","1.39","1030.00","300.00","1130.00","","","","","","","","","","95"
"229","leche devaca","con cacao","100.00","3.30","4.30","12.00","80.00","","170.00","50.00","160.00","","100.00","","","100.00","","0.30","","110.00","","","","","","","","","","","","45"
"230","mantequilla","fresca","718.00","0.68","81.30","0.70","15.20","1.30","3350.00","3300.00","50.00","800.00","100.00","(1) 223","41.00","24.00","4.60","0.20","0.03","20.00","7.00","320.00","30","40","55","48","15","28","10","39","","12"
"231","nata","fresca","362.00","2.30","38.00","3.10","56.00","0.10","1700.00","50.00","130.00","800.00","100.00","(2) 34","68.00","76.00","9.30","3.31","0.15","32.00","33.00","62.00","","","","","","","","","","27"
"232","queso brugos","natural","190.00","12.10","14.60","3.16","67.80","2.90","","","","","","","","","","","","","","","","","","","","","","","",""
"233","queso cabrales","natural","400.00","26.70","34.70","2.10","32.20","4.10","3500.00","65.00","420.00","","","","","","","","","","","","","","","","","","","","","51"
"234","queso emmertal","natural","397.00","26.80","30.50","2.30","35.58","5.80","2600.00","40.00","420.00","1000.00","9240.00","750.00","96.00","900.00","52.60","0.90","0.05","758.00","187.00","2050.00","","","","","","","","","",""
"235","queso gervaia","natural","415.00","19.70","36.00","2.00","387.00","3.30","3000.00","40.00","550.00","","","173.00","70.00","492.00","21.30","0.75","0.03","401.00","191.00","875.00","","","","","","","","","89",""
"236","queso gorgonzola","natural","365.00","24.50","28.00","1.80","38.00","4.10","3100.00","50.00","360.00","","100.00","1220.00","172.00","585.00","37.38","0.80","0.15","392.00","177.00","1800.00","","","","","","","","","3",""
"237","queso graso","natural","270.00","8.00","25.00","3.00","","","4000.00","118.00","125.00","20.00","","","","150.00","","0.10","","100.00","","","","","","","","","","","",""
"238","queso gruyere","natural","420.00","33.00","32.20","4.00","23.20","5.30","3100.00","87.00","450.00","","350.00","542.00","128.00","1000.00","45.00","0.80","0.27","710.00","206.00","825.00","1571","1969","2845","2098","757","1081","388","2009","","58"
"239","queso magro","natural","200.00","39.00","1.80","4.20","55.00","","100.00","35.00","400.00","","150.00","","","1050.00","","0.70","","425.00","","","","","","","","","","","",""
"240","queso manchego","natural","400.00","32.50","32.00","1.40","30.00","41.00","3200.00","62.00","480.00","","","","","","","","","","","","","","","","","","","","",""
"241","queso roquefort","natural","393.00","23.40","33.60","2.50","38.80","","3900.00","88.00","550.00","","1350.00","","","750.00","","1.00","","450.00","","","","","","","","","","","",""
"242","queso semigraso","natural","253.00","36.20","9.90","3.00","46.00","","600.00","30.00","310.00","","100.00","88.00","131.00","961.00","42.00","1.00","","610.00","218.00","","","","","","","","","","","67"
"243","queso villalon","natural","450.00","17.50","46.00","1.90","28.50","6.30","","40.00","275.00","","","","","","","","","","","","","","","","","","","","",""
"244","requeson miraflores","","150.00","8.70","12.10","4.80","73.10","1.10","","30.00","200.00","","100.00","","","300.00","","","","","","","","","","","","","","","",""
"245","yogur","natural","62.00","3.80","3.50","4.30","86.00","2.60","70.00","58.00","210.00","","100.00","64.00","6.00","145.00","","","","123.00","","","209","281","29","339","109","198","59","298","",""
"246","Huevo entero","Crudo","155.00","13.60","10.90","0.55","74.00","0.80","1300.00","138.00","340.00","","300.00","97.00","124.00","56.00","14.00","2.10","0.20","190.00","184.00","135.00","708","817","1098","802","41","608","198","918","142",""
"247","Huevo Clara","Crudo","53.00","10.40","0.30","0.70","87.80","0.50","","25.00","250.00","","85.00","127.00","98.00","8.80","11.50","0.15","0.03","19.00","228.00","188.00","669","680","898","658","419","456","163","2649","56",""
"248","Huevo Yema","Crudo","352.00","16.40","30.10","0.60","52.00","1.20","3350.00","350.00","420.00","","","(1) 52","118.00","142.00","16.30","5.90","0.02","495.00","178.00","124.00","669","1012","1378","1075","415","837","237","1135","332",""
"249","Huevo","Escalfado","154.00","12.20","11.30","0.60","74.70","1.10","1080.00","80.00","250.00","","","(2) 111","118.00","52.00","11.20","2.40","0.03","212.00","181.00","155.00","707","820","1076","790","378","598","193","895","197",""
"250","Huevo","Frito","220.00","13.60","17.50","2.00","64.30","1.90","1200.00","60.00","270.00","","50.00","220.00","176.00","81.00","13.90","2.30","0.05","230.00","206.00","199.00","707","820","1076","790","378","598","193","895","165",""
"251","Huevo","Hervido","155.00","12.10","11.60","0.60","73.50","1.80","1100.00","70.00","260.00","","54.00","118.00","121.00","54.00","12.30","2.50","0.03","209.00","173.00","159.00","707","820","1076","790","378","598","193","895","162",""
"252","Huevo","Revuelto","250.00","11.70","18.30","1.20","63.80","1.50","26.00","67.00","240.00","","45.00","1260.00","132.00","66.00","12.00","2.00","0.05","180.00","144.00","1910.00","707","820","1076","790","378","598","193","895","125",""
"253","Huevo","seco","567.00","44.10","43.00","2.80","6.50","4.10","3300.00","430.00","1270.00","","280.00","(3) 519","483.00","190.00","41.40","8.00","0.18","776.00","630.00","592.00","2650","2989","4080","3010","1380","2300","790","3400","598",""
"254","Huevo","Tortilla","258.00","9.10","26.30","4.60","58.30","1.70","","15.00","","","","1010.00","90.00","39.00","8.40","1.63","0.04","143.00","111.00","1520.00","707","820","1076","790","378","598","193","895","102",""
"255","Huevo de pata","Crudo","141.00","9.10","10.20","2.40","78.10","0.60","1200.00","105.00","425.00","","110.00","","","58.00","","1.70","","191.00","","","","","","","","","","","",""
"256","Huevo de Pava","Crudo","162.00","13.20","1.00","11.30","","","","","","","","","","","","","","","","","","","","","","","","","",""
"257","Azucar","refinado","401.00","","","99.80","0.10","","","","","","","","","","","","","","","","","","","","","","","","",""
"258","Azucar","sin refinar","378.00","1.40","","93.60","8.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"259","Azucar de Uva","","391.00","","","99.00","1.00","","","","","","","","","","","","","","","","","","","","","","","","",""
"260","Caldo en Cubitos","","190.00","11.00","1.40","47.00","35.00","","","20","1000","","25000","27000.00","1500.00","40.00","","4.20","","510.00","","","","","","","","","","","",""
"261","Caramelos ","","397.00","2.40","11.60","79.50","5.30","1.00","160","25","130","","","","","131.00","2.00","2.10","","82.00","","","","","","","","","","","",""
"262","Confituras","","292.00","0.60","2.10","69.20","26.00","","10","22","20","5700","200","13.00","13.00","16.00","","0.40","","11.10","","","","","","","","","","","",""
"263","Chocolate","amargo","561.00","5.70","53.30","38.00","2.00","","64","49","247","","1000","24.00","570.00","","","5.10","","411.00","95.00","71.00","","","","","","","","","68",""
"264","Chocolate","lacteado","558.00","7.40","31.30","53.00","1.00","","162","56","380","","470","180.00","380.00","170.00","58.90","1.30","0.49","310.00","","170.00","","","","","","","","","",""
"265","Jaleas","","270.00","3.10","0.30","67.00","24.00","","10","20","20","4300","200","25.20","25.00","31.50","4.40","1.74","0.16","38.00","42.00","26.00","","","","","","","","","","1"
"266","Levadura","prensada","96.00","13.10","0.28","12.20","72.00","2.40","480","480","1900","28000","","4.70","401.00","20.00","16.00","2.90","","350.00","51.00","21.00","","","","","","","","","40",""
"267","Levadura","seca","276.00","38.90","1.80","39.90","8.20","8.90","","9690","5450","","","150.00","1700.00","106.00","","18.20","","1893.00","","","","","","","","","","","",""
"268","Malta (extracto)","seco","300.00","5.20","","84.80","8.00","2.00","","","185","","","","","","","","","","","","","","","","","","","","",""
"269","Melaza","","242.00","2.40","","69.60","24.40","3.60","","65","105","","800","43.00","1238.00","218.00","81.00","6.70","","45.00","50.00","501.00","","","","","","","","","","178"
"270","Miel de Abeja","","328.00","0.40","","81.00","18.40","0.20","","","50","5000","150","5.00","10.00","5.00","6.00","0.90","0.07","16.00","15.00","5.00","","","","","","","","","19",""
"271","Aceite higado bacalao","","916.00","","99.80","","","","85000.00","","","","","0.10","","","","","","","","100.00","","","","","","","","","",""
"272","Mahonesa","","720.00","1.50","78.00","8.00","16.00","1.50","210.00","40.00","40.00","6000.00","200.00","590.00","25.00","19.00","","1.00","","60.00","","","","","","","","","","","",""
"273","Manteca Cerdo grasa","","893.00","0.50","99.20","","0.30","","","","","","","9.00","","","","","","","","","","","","","","","","","",""
"274","Margarina","","732.00","0.50","88.50","0.70","12.30","2.50","3200.00","","","","","1160.00","800.00","18.00","","","","18.00","","945.00","","","","","","","","","73",""
"275","Abadejo","fresco","58.00","13.60","0.30","","85.50","0.60","","120.00","25.00","","","67.00","288.00","21.00","35.00","3.20","","74.00","104.00","241.00","","","","","","","","","195",""
"276","abadejo (seco)","salado","361.00","81.50","2.70","","14.70","1.10","","100.00","150.00","","","175.00","421.00","136.00","51.30","3.10","","253.00","246.00","283.00","","","","","","","","","",""
"277","abadejo","cocido","107.00","23.70","1.10","0.70","74.70","0.50","","50.00","60.00","","2500.00","120.00","390.00","14.20","34.30","0.50","","216.00","248.00","108.00","","","","","","","","","135",""
"278","abadejo","frito","170.00","17.60","9.50","6.80","65.50","0.60","","","","","","153.00","238.00","92.00","40.00","1.60","","232.00","201.00","219.00","","","","","","","","","117",""
"279","almeja","fresco","81.00","13.50","1.60","8.40","78.90","2.60","110.00","100.00","210.00","","1400.00","289.00","261.00","96.00","68.00","6.70","","141.00","276.00","463.00","","","","702","","","148","","244",""
"280","almeja","cocido","68.00","12.10","2.40","","82.40","3.10","88.00","45.00","","","970.00","210.00","97.00","197.00","25.00","13.50","","331.00","328.00","315.00","","","","101","","","418","","287",""
"281","anchoas","fresco","138.00","21.40","5.80","0.90","70.40","1.50","","","","","","225.00","302.00","22.90","50.30","5.10","","426.00","236.00","185.00","","","","","","","","","214",""
"282","anchoas","conserva","185.00","18.80","11.20","1.00","42.60","","","","","","","","","18.00","","","","840.00","","","809","1090","1472.00","1481.00","387.00","793.00","109.00","891.00","",""
"283","anguila de rio","fresco","142.00","18.80","13.60","3.90","62.80","1.70","8500.00","260.00","290.00","1700.00","1400.00","(1) 67,2","230.00","414.40","34.80","4.00","","320.00","219.00","60.00","685","1008.00","1388.00","1642.00","538.00","789.00","178.00","988.00","90",""
"284","anguila de rio","cocida","232.00","13.10","17.30","3.50","64.70","1.40","","100.00","","","","72.00","200.00","14.40","14.80","1.00","","200.00","199.00","68.00","","","","","","","","","",""
"285","arenque","fresco","120.00","16.80","8.70","","72.30","2.20","915.00","80.00","190.00","1000.00","3100.00","(2) 110","307.00","73.00","31.70","1.30","","225.00","191.00","122.00","679","927.00","1381.00","1593.00","538.00","787.00","198.00","968.00","115",""
"286","arenque","frito","212.00","21.90","13.70","1.50","59.80","3.10","130.00","14.00","153.00","","3050.00","(3) 101","415.00","49.50","34.70","1.60","","290.00","261.00","125.00","","","","","","","","","219",""
"287","atun","fresco","148.00","18.90","9.10","0.30","71.30","0.60","6200.00","400.00","140.00","","","","","","","","","","","","","","","","","","","","",""
