"FECHA","TRANSACCIÓN","CUENTA","DESCRIPCIÓN","VALOR"
"01/02/2024 18:07:46","Egreso","Gastos de Grima","mensualidad","€800.00"
"30/01/2024 18:13:43","Egreso","Gastos de Grima","Inversión","€2,000.00"
"19/01/2024 18:15:28","Egreso","Gastos oficina","Trastero","€94.50"
"24/01/2024 18:18:13","Egreso","Gastos oficina","Bombillas -hierro","€27.10"
"25/01/2024 18:20:45","Egreso","Gastos oficina","Bombillas Hierro","€6.85"
"26/01/2024 18:21:33","Egreso","Gastos de Grima","Fisioterapia","€35.00"
"26/01/2024 18:21:50","Egreso","Gasolina","Petroprix Arinaga","€26.75"
"30/01/2024 18:22:16","Egreso","Gastos de Grima","Inversión","€2,000.00"
"30/01/2024 18:22:46","Egreso","Gastos oficina","2 Letra Ordenador","€135.15"
"31/01/2024 18:23:28","Egreso","Impuestos","IGIC a cuenta de buen recaudo","€147.98"
"01/02/2024 18:24:11","Egreso","Gastos oficina","Trastero feb","€94.50"
"02/02/2024 10:12:52","Ingreso","Venta de decorativos","Octavia por Grupo 1844","€412.25"
"03/02/2024 14:43:38","Ingreso","Venta de decorativos","Ingreso Sauche proyecto y suministros","€7,217.96"
"03/02/2024 14:44:18","Ingreso","Comisiones","comisión Octavia de guaguas","€412.25"
"03/02/2024 14:44:46","Egreso","Asesoría empresarial","Pago Adrián Estévez","€173.44"
"03/02/2024 14:45:34","Egreso","Impuestos","igic Sauche","€38.66"
"03/02/2024 14:46:08","Egreso","Impuestos","Igic Sauche extras","€136.92"
"31/01/2024 14:47:08","Egreso","Seguridad social","cuota seg social","€300.17"
"03/02/2024 14:48:13","Egreso","Impuestos","igic sauche proyecto","€332.67"
"03/02/2024 14:48:48","Egreso","Impuestos","igic sauche que me faltó","€29.70"
"03/02/2024 14:49:27","Egreso","Gastos de Grima","Nómina Grima 10% sauche","€721.00"
"04/02/2024 14:50:18","Egreso","Gasolina","Bateria del coche","€100.00"
"06/02/2024 14:50:42","Ingreso","Comisiones","Comisión Juan Placeres obra restaurante","€1,656.00"
"06/02/2024 14:51:26","Ingreso","Venta de decorativos","Factura lámparas oficina David","€842.24"
"06/02/2024 14:52:08","Egreso","Pago a provedores","Dielca lamparas David","€835.67"
"06/02/2024 14:52:43","Egreso","Gastos de Grima","pago viaje grima","€1,619.33"
"06/02/2024 14:53:20","Egreso","Impuestos","igic juan placeres","€126.00"
"06/02/2024 14:54:05","Egreso","Impuestos","igic lamparas David","€64.08"
"07/02/2024 16:08:51","Egreso","Gasolina","Gasolina en Arinaga","€25.15"
"17/02/2024 17:45:03","Ingreso","Venta de decorativos","Lámparas David oficina resto","€137.32"
"19/02/2024 21:10:51","Ingreso","Gastos de Grima","Devolución de la mitad del dinero del viaje","€800.00"
"29/02/2024 8:12:31","Egreso","Alimentos","Nómina Grima marzo","€1,500.00"
"20/02/2024 8:15:17","Egreso","Gastos de Grima","inversion","€1,500.00"
"22/02/2024 8:15:58","Egreso","Gastos de Grima","Fisio","€35.00"
"25/02/2024 8:16:53","Egreso","Pago a provedores","Pago a Adrián Estévez","€173.79"
"27/02/2024 8:17:35","Egreso","Gastos de Grima","Fisio","€47.00"
"29/02/2024 8:18:13","Egreso","Pago a provedores","Pago letra del ordenador","€135.15"
"29/02/2024 8:19:12","Egreso","Seguridad social","Cuota seguridad social","€300.67"
"11/02/2024 8:20:15","Egreso","Almacenamiento nube","Dropbox","€11.99"
"04/03/2024 17:14:53","Egreso","Gasolina","Gasolina Petroprix","€32.74"
"01/03/2024 17:15:23","Ingreso","Suministros","Ingreso por el viaje","€300.00"
"01/03/2024 17:16:36","Egreso","Gastos de Grima","Fisio Lia","€47.00"
"05/03/2024 10:54:37","Egreso","Pago a provedores","PAGO CORTINA VERTICAL PERSITEN","€384.24"
"06/03/2024 11:33:18","Egreso","Pago a provedores","Trastero","€94.50"
"06/03/2024 11:33:51","Ingreso","Venta de decorativos","Cortina vertical David","€552.99"
"04/03/2024 11:35:23","Egreso","Transporte","Pago parking aeropuerto viaje a feria","€24.17"
"07/03/2024 12:19:54","Egreso","Pago a provedores","Hotel Madrid Feria","€289.98"
"09/03/2024 12:21:03","Egreso","Alimentos","Restaurante Madrid proveedores","€109.00"
"09/03/2024 12:21:35","Egreso","Transporte","Taxi al hotel","€17.05"
"04/03/2024 12:23:55","Egreso","Teléfono/internet","Teléfono marzo","€61.52"
"19/03/2024 8:51:46","Ingreso","Comisiones","Comisión Gorohogar mesas","€288.88"
"19/03/2024 8:52:44","Egreso","Impuestos","Igic Gorohogar","€21.98"
"15/03/2024 8:56:32","Egreso","Gasolina","Gasolina","€33.52"
"21/03/2024 8:41:52","Ingreso","Factura Diseño","Diseño mueble bella ciao","€165.60"
"21/03/2024 8:50:53","Egreso","Impuestos","Igic, diseño mueble Bella Ciao","€12.60"
"21/03/2024 9:11:14","Egreso","Impuestos","igic fra 08-24 stand fw store","€12.60"
"21/03/2024 9:11:52","Egreso","Impuestos","Igic fra 09-24 Cortina David","€36.18"
"21/03/2024","Ingreso","Factura Asesoría","factura de ingreso","€1,250.56"
"21/03/2024","Egreso","Pago a provedores","egreso de prueba","€25.59"
"28/03/2024","Ingreso","Comisiones","COMISIÓN TRABAJOS CON ROVEL GRUPO 1844","€168.21"
"04/04/2024","Ingreso","Comisiones","DEVOLUCION DE PRESTAMO A MADRE PARA AIRE ACONDICIONADO ARIÑEZ","€1,915.00"
"06/04/2024","Ingreso","Factura Diseño","BAÑOS GREEN FIELD","€354.20"
"09/04/2024","Ingreso","Factura Proyecto","TRABAJO VEGETACION GRUPO 1844","€6,398.33"
"28/03/2024","Egreso","Pago a provedores","ASEOSRIA EMPRESARIAL ADRIAN ESTEVEZ","€173.61"
"01/04/2024","Egreso","IGIC","IGIC DE FACTURA ROVEL","€12.80"
"02/04/2024","Egreso","Pago a provedores","PAGO FINAL AIRE ACONDICIONADO ARIÑEZ","€574.59"
"03/04/2024","Egreso","Gastos oficina","PAGO ORDENADOR","€135.15"
"03/04/2024","Egreso","Trastero","TRASTERO","€94.50"
"03/04/2024","Egreso","Gasolina","PETROPRIX GASOLINA","€32.13"
"04/04/2024","Egreso","Asesoría Contable","PGO ATRASADO DE ENERO","€150.00"
"04/04/2024","Egreso","Pago a provedores","SITEGROUNG HOSTING Y DOMINIO GR INTERIORISMO","€384.43"
"08/04/2024","Egreso","Asesoría Contable","PAGO ELUFISCAL ATRASADO DE FEBRERO","€150.00"
"09/04/2024","Egreso","Pago a provedores","PAGO A CARLOS POR TRABAJO VEGETACION GRUPO 1844","€5,023.35"
"09/04/2024","Egreso","IGIC","IGIC FRA. GUAGUAS CARLOS","€328.63"
"09/04/2024","Egreso","IGIC","IGIC FRA HOTEL GREEN FIELD","€26.95"
"09/04/2024","Egreso","Gastos oficina","INVERSION MIC","€2,000.00"
"27/03/2024","Egreso","Seguridad social","CUOTA AUTÓNOMO","€300.67"
"03/04/2024","Egreso","Teléfono/internet","SEA MOBILE TELEFONIA","€61.52"
"30/03/2024","Egreso","Almacenamiento nube","I CLOUD APPLE","€9.99"
"09/04/2024","Egreso","Salario","Salario mes abril","€1,500.00"
"09/04/2024","Egreso","IGIC","Me faltó del igic de Carlos en grupo 1844","€89.95"
"12/04/2024","Egreso","Gasolina","Gasolina Petroprix","€30.43"
"19/04/2024","Egreso","IGIC","Factura jacuzzi","€21.49"
"22/04/2024","Egreso","Impuestos","Pago modelo 111","€15.00"
"22/04/2024","Egreso","Impuestos","Pago modelo 130","€90.56"
"22/04/2024","Egreso","IGIC","Pago Igic trimestral","€1,030.22"
"23/04/2024","Egreso","Pago Personal","Inversión","€40.00"
"25/04/2024","Egreso","Asesoría Contable","Elulegal asesoría","€150.00"
"26/04/2024","Egreso","Asesoría Contable","Pago para elaboración de renta 2024","€200.00"
"19/04/2024","Ingreso","Comisiones","Comisión Jacuzzi","€282.44"
"25/04/2024","Egreso","Gasolina","Petroprix","€36.70"
"28/04/2024","Egreso","Asesoría empresarial","Asesoria empresarial","€175.63"
"30/04/2024","Egreso","Gastos oficina","Plazo del ordenador","€135.15"
"03/05/2024","Egreso","Trastero","Pago trastero","€94.50"
"30/04/2024","Egreso","Seguridad social","Cargo Cuota Seg social","€300.67"
"03/05/2024","Egreso","Teléfono/internet","Teléfono e internet","€61.52"
"03/05/2024","Egreso","Venta Suministro","Compra de pinturas en Cin pinturas para obra Sonnenland","€297.16"
"07/05/2024","Ingreso","Factura Asesoría","Asesoria Olalla","€82.80"
"07/05/2024","Ingreso","Factura Proyecto","Proyecto Viajes Insular","€3,504.23"
"07/05/2024","Ingreso","Comisiones","Del Nero extra de sillas","€743.82"
"07/05/2024","Ingreso","Factura Asesoría","Atico Ancor","€400.00"
"07/05/2024","Egreso","IGIC","igic factura iker","€10.07"
"07/05/2024","Egreso","IGIC","igic pinturas","€35.36"
"07/05/2024","Egreso","IGIC","igic del nero","€56.60"
"07/05/2024","Egreso","IGIC","igic olalla","€6.30"
"07/05/2024","Egreso","IGIC","igic agencia viajes","€266.63"
"07/05/2024","Egreso","Pago a provedores","Fotografias Bell AMore","€184.00"
"10/05/2024","Egreso","Pago Personal","Pagos a Yaiza y mama","€550.00"
"13/05/2024","Egreso","Gasolina","Gasolina coche grande","€51.50"
"23/05/2024","Egreso","Salario","Para viaje","€400.00"
"27/05/2024","Egreso","Asesoría Contable","Mensualidad asesoría","€150.00"
"27/05/2024","Egreso","Asesoría Contable","FACTURA DE ABRIL POR ERROR DE ELLOS","€150.00"
"27/05/2024","Egreso","Licencias","Formación, curso de Oratoria","€60.00"
"29/05/2024","Egreso","Licencias","App CleanMac","€29.99"
"29/05/2024","Egreso","Almacenamiento nube","iCloud","€9.99"
"29/05/2024","Egreso","Gastos oficina","Dispositivo grabador de reuniones y llamadas ChatGPT 4o","€189.80"
"29/05/2024","Ingreso","Factura Proyecto","50% proyecto baños hotel Green Field","€222.03"
"29/05/2024","Ingreso","Venta Suministro","Pago para comprar en Leroy. Baños Green Field","€683.52"
"29/05/2024","Egreso","Gastos oficina","Soporte para CPU. Ikea","€19.00"
"30/05/2024","Egreso","Gastos oficina","Pago plazo ordenador","€135.15"
"30/05/2024","Egreso","Asesoría empresarial","Asesoria empresarial Adrian Estévez","€173.55"
"31/05/2024","Egreso","Pago a provedores","Pago pedido extra de NMC Obra Sonnenland","€281.48"
"31/05/2024","Egreso","Seguridad social","Cuota seguridad social autónomo","€300.67"
"01/06/2024","Egreso","Gasolina","Petroprix Arinaga","€29.51"
"02/06/2024","Egreso","Licencias","Curso Excel y finanzas vitalicio","€697.00"
"03/06/2024","Egreso","Pago a provedores","Compra en Leroy baños Green Field","€671.23"
"03/06/2024","Egreso","Teléfono/internet","Sea Mobile","€61.52"
"04/06/2024","Egreso","Trastero","Trastero","€94.50"
"04/06/2024","Egreso","Venta Suministro","Cin pinturas para Sonnenland","€333.14"
"06/06/2024","Egreso","Venta Suministro","Pinturas Amado","€540.26"
"06/06/2024","Egreso","Gasolina","Petroprix Balos","€27.99"
"07/06/2024","Egreso","Venta Suministro","NMC Ancor","€790.55"
"10/06/2024","Ingreso","Venta Suministro","Ingreso de ancor de molduras Nmc","€644.02"
"10/06/2024","Ingreso","Venta Suministro","Ingreso 2 de molduras Nmc ancor","€600.00"
"11/06/2024","Egreso","Pago a provedores","Pintura blanco nube Amado","€36.52"
"17/06/2024","Egreso","Asesoría Contable","Asesoría Elufiscal","€150.00"
"17/06/2024","Egreso","Gasolina","Petroprix","€34.83"
"18/06/2024","Egreso","Salario","Nómina grima","€1,700.00"
"19/06/2024","Egreso","Pago a provedores","compra de pinturas para la obra de Amado","€108.53"
"19/06/2024","Egreso","Pago a provedores","Pintura blanco nube Amado","€36.52"
"20/06/2024","Egreso","Pago a provedores","Compra imprimación Cinolite Amado","€100.44"
"20/06/2024","Egreso","Gasolina","Petroprix Arinaga","€28.00"
"25/06/2024","Egreso","Venta Suministro","Cin Pinturas Amado blanco perla y griega","€135.68"
"27/06/2024","Egreso","Impuestos","Schenker logistic NMC Amado","€106.93"
"28/06/2024","Egreso","Pago a provedores","Asesoria empresarial Adrián","€175.54"
"01/07/2024","Egreso","Gastos oficina","Cuota ordenador","€135.15"
"01/07/2024","Egreso","Venta Suministro","Pintura greige","€32.71"
"01/07/2024","Egreso","Venta Suministro","rejas Leroy","€415.90"
"01/07/2024","Egreso","Venta Suministro","tornillos Leroy","€33.52"
"01/07/2024","Ingreso","Venta Suministro","lo de Leroy","€1,250.00"
"03/07/2024","Egreso","Trastero","Trastero","€94.50"
"04/07/2024","Ingreso","Comisiones","NMC molduras amado","€859.03"
"04/07/2024","Egreso","Venta Suministro","Pinturas CIn","€120.53"
"05/07/2024","Egreso","Gasolina","Petroprix Arinaga","€35.65"
"06/07/2024","Ingreso","Factura Proyecto","Resto proyecto Ancor","€454.99"
"06/07/2024","Ingreso","Pago a provedores","Pagos varios","€350.00"
"09/07/2024","Egreso","Pago Personal","inversión","€1,600.00"
"09/07/2024","Egreso","Venta Suministro","obramat para amado","€14.67"
"09/07/2024","Egreso","Venta Suministro","Leroy","€11.29"
"09/07/2024","Egreso","Venta Suministro","Lámparas solares Leroy","€69.68"
"11/07/2024","Egreso","Venta Suministro","accesorios campan amado Bosch","€38.91"
"12/07/2024","Egreso","Asesoría Contable","Elulegal","€150.00"
"12/07/2024","Egreso","Venta Suministro","Leroy Ariñez","€22.50"
"12/07/2024","Egreso","Gasolina","Petroprix Arinaga","€25.42"
"15/07/2024","Egreso","Venta Suministro","Famara arqueta","€77.71"
"15/07/2024","Ingreso","Venta Suministro","Cobro de pagos varios Ariñez","€1,581.00"
"16/07/2024","Egreso","Licencias","Renovación licencia Sketchup","€337.00"
"16/07/2024","Egreso","Pago a provedores","Pavimento Ariñez","€1,150.74"
"16/07/2024","Egreso","Gasolina","Petroprix Arinaga","€33.29"
"17/07/2024","Egreso","IGIC","Igic Pinturas","€19.39"
"17/07/2024","Egreso","Pago a provedores","Cin Pinturas Green Field y Amado","€277.04"
"17/07/2024","Ingreso","Venta Suministro","Pagos varios","€400.00"
"18/07/2024","Egreso","Pago a provedores","Aduanas e igic a Grupamar por Sauna","€582.81"
"22/07/2024","Egreso","Impuestos","Pago IRPF modelo 111","€30.00"
"24/07/2024","Ingreso","Impuestos","Aduanas e Igic de sauna Amado","€582.51"
"24/07/2024","Ingreso","Venta Suministro","Pintura blanca Amado","€150.00"
"24/07/2024","Ingreso","Factura Proyecto","Fin proyecto Amado","€3,150.00"
"24/07/2024","Ingreso","Venta Suministro","Accesorios campana amado","€38.91"
"27/07/2024","Ingreso","Venta Suministro","Pintura Hotel","€339.88"
"27/07/2024","Ingreso","Comisiones","Comisión Piedractiva Amado","€717.23"
"28/07/2024","Egreso","Asesoría Contable","Asesoría empresarial Adrian","€173.19"
"29/07/2024","Egreso","Gasolina","Petroprix Arinaga","€32.90"
"29/07/2024","Egreso","Pago Personal","Inversión MIC","€1,700.00"
"30/07/2024","Egreso","Gastos oficina","Pago letra de ordenador","€135.15"
"30/07/2024","Ingreso","Comisiones","Cojines Wic. Sandra","€70.00"
"01/08/2024","Egreso","Venta Suministro","brocas","€66.10"
"02/08/2024","Egreso","Salario","salario Grima","€1,700.00"
"02/08/2024","Egreso","Seguridad social","Cuota Seg social autónomo","€300.67"
"05/08/2024","Egreso","Teléfono/internet","Sea mobile tlfo","€61.52"
"05/08/2024","Egreso","Trastero","trastero","€94.50"
"06/08/2024","Ingreso","Venta Suministro","diferencia de factura","€6.92"
"08/08/2024","Egreso","Gasolina","Petroprix Agüimes","€29.52"
"16/08/2024","Egreso","Asesoría Contable","Elulegal","€150.00"
"20/08/2024","Ingreso","Comisiones","Saunas Luxe","€656.00"
"21/08/2024","Egreso","Gasolina","Petroprix Sebadal","€34.87"
"22/08/2024","Ingreso","Comisiones","Comisión Esteban carpintero","€3,300.00"
"22/08/2024","Ingreso","Comisiones","Comisión Tapiceria Molina","€150.00"
"25/08/2024","Egreso","Pago a provedores","Asesoría Adrián","€169.37"
"30/08/2024","Egreso","Gastos oficina","Plazo del ordenador","€135.15"
"03/09/2024","Egreso","Trastero","trastero","€94.50"
"04/09/2024","Egreso","Licencias","Pago extra del master de iluminación","€60.57"
"06/09/2024","Egreso","Gasolina","Petroprix Agüimes","€32.87"
"30/08/2024","Egreso","Seguridad social","Seguro autónomo","€300.67"
"03/09/2024","Egreso","Teléfono/internet","Telefono septiembre","€61.52"
"24/08/2024","Ingreso","Pago Personal","Devolución de pagos pendientes","€754.00"
"12/09/2024","Ingreso","Comisiones","Comisión Dicerma de Sonnenland","€2,800.00"
"16/09/2024","Egreso","Asesoría Contable","Elulegal","€150.00"
"19/09/2024","Egreso","Pago a provedores","Fregadero  exterior Sonnenland","€288.76"
"23/09/2024","Ingreso","Comisiones","Fregadero exterior Sonnenland","€330.00"
"22/09/2024","Egreso","Gasolina","Petroprix Agüimes","€31.35"
"24/09/2024","Ingreso","Pago Personal","Devolución dinero personal prestado","€1,600.00"
"24/09/2024","Egreso","Pago a provedores","Asesoría empresarial Adrian","€169.43"
"26/09/2024","Ingreso","Factura Proyecto","Pago proyecto Hotel Green Field","€190.90"
"01/10/2024","Egreso","Gastos oficina","Plazo ordenador","€135.15"
"01/10/2024","Egreso","Teléfono/internet","Teléfono","€61.52"
"30/09/2024","Egreso","Seguridad social","Cuota Seguridad Social","€300.67"
"03/10/2024","Egreso","Trastero","Trastero","€94.50"
"03/10/2024","Ingreso","Venta Suministro","Cobro suministros varios","€1,200.00"
"04/10/2024","Egreso","Gasolina","Gasolina petroprix las palmas","€24.40"
"06/10/2024","Egreso","Pago a provedores","Suscripción Canva","€27.00"
"11/10/2024","Egreso","Venta Suministro","Dielca luminarias Viajes Insular","€1,127.72"
"12/10/2024","Ingreso","Venta Suministro","Pago de luminarias de Viajes Insular","€1,127.72"
"14/10/2024","Ingreso","Pago a provedores","Pintura Schaman","€88.00"
"15/10/2024","Egreso","Gasolina","Petroprix Las Palmas","€32.46"
"21/10/2024","Egreso","Asesoría Contable","Elulegal","€150.00"
"21/10/2024","Egreso","Gasolina","Gasolina Petroprix Las Palmas","€28.00"
"22/10/2024","Egreso","Impuestos","modelo 420","€196.18"
"22/10/2024","Egreso","Asesoría empresarial","Asesoría empresarial Adrian","€173.46"
"24/10/2024","Egreso","Venta Suministro","Gastos varios de Ferreteria para instalación Dicerma","€51.23"
"25/10/2024","Egreso","Venta Suministro","Compras varias en ferretería instalación Dicerma","€71.05"
"28/10/2024","Egreso","Venta Suministro","Compras ferretería instalación Dicerma","€15.86"
"28/10/2024","Ingreso","Comisiones","Propina Trabajo Sonnenland","€1,000.00"
"31/10/2024","Egreso","Seguridad social","Cuota seguridad social autónomo","€300.67"
"01/11/2024","Egreso","Gastos oficina","Letra ordenador","€135.15"
"05/11/2024","Egreso","Gasolina","Petroprix Sebadal","€30.28"
"05/11/2024","Egreso","Teléfono/internet","Seamovil","€61.65"
"07/11/2024","Ingreso","Comisiones","Carlos Clavero de Ancor","€325.68"
"07/11/2024","Egreso","Gastos oficina","Canvas anual","€110.00"
"07/11/2024","Egreso","Pago a provedores","Formación financiera Pro mensual","€100.00"
"14/11/2024","Egreso","Venta Suministro","Pinturas Ariñez mamá","€196.82"
"17/11/2024","Egreso","Gastos oficina","Suscripción Chat Gpt mensual","€19.62"
"20/11/2024","Ingreso","Factura Diseño","Instalación Dicerma","€1,540.80"
"20/11/2024","Egreso","IGIC","Igic Instalación Dicerma","€100.80"
"20/11/2024","Egreso","Gasolina","Petroprix Sebadal","€27.67"
"22/11/2024","Egreso","Asesoría Contable","Elulegal","€150.00"
"22/11/2024","Egreso","Venta Suministro","Pinturas Viajes Insular","€120.37"
"22/11/2024","Egreso","Venta Suministro","Perchero Viajes Insular","€37.60"
"22/11/2024","Ingreso","Venta Suministro","Pintura mamá y mas","€720.00"
"22/11/2024","Egreso","IGIC","Igic factura Carlos Clavero","€24.78"
"24/11/2024","Egreso","Almacenamiento nube","Dropbox","€11.99"
"24/11/2024","Egreso","Asesoría Contable","Asesoría empresarial, Adrián","€181.00"
"24/11/2024","Egreso","Trastero","Trastero","€94.50"
"24/11/2024","Egreso","Impuestos","Impuesto municipal de basura","€12.62"
"28/11/2024","Ingreso","Venta Suministro","Compras para Viajes insular","€255.37"
"28/11/2024","Egreso","IGIC","Igic Suministro Viajes Insular","€16.71"
"29/11/2024","Egreso","Seguridad social","Cuota autónomo","€300.67"
"29/11/2024","Egreso","IGIC","IGIC factura 34 24 de viajes insular","€16.71"
"02/12/2024","Egreso","Gastos oficina","Letra del ordenador","€135.15"
"03/12/2024","Egreso","Teléfono/internet","Telefono","€61.59"
"07/12/2024","Egreso","Pago a provedores","Formación financiera","€100.00"
"09/12/2024","Egreso","Gasolina","Petroprix Sebadal","€28.99"
"16/12/2024","Egreso","Trastero","Trastero","€94.50"
"16/12/2024","Egreso","Venta Suministro","Estanterías Ikea Viajes Insular","€24.00"
"17/12/2024","Ingreso","Comisiones","Gorohogar de Viajes Insular","€878.37"
"17/12/2024","Egreso","IGIC","Igic de Gorohogar","€66.83"
"18/12/2024","Ingreso","Factura Asesoría","Asesoría Hotel Green Field pintura fachada","€110.40"
"18/12/2024","Egreso","Gastos oficina","Chat gpt","€19.71"
"18/12/2024","Egreso","IGIC","igic factura Green Field","€8.40"
"19/12/2024","Ingreso","Factura Proyecto","Mitad de factura proyecto Club La Calzada","€2,000.00"
"19/12/2024","Egreso","IGIC","Igic Presupuesto club La Calzada","€140.00"
"23/12/2024","Egreso","Asesoría Contable","ELulegal","€80.00"
"25/12/2024","Egreso","Asesoría Contable","Asesoría Adrián","€181.32"
"28/12/2024","Ingreso","Venta Suministro","Estanterías Viajes Insular Ikea","€24.00"
"28/12/2024","Ingreso","Factura Proyecto","Pago final Viajes Insular","€2,732.77"
"30/12/2024","Egreso","Gasolina","Petroprix Sebadal","€31.59"
"31/12/2024","Egreso","Gastos oficina","Letra Ordenador","€135.15"
"31/12/2024","Egreso","Trastero","Trastero","€94.50"
"31/12/2024","Egreso","Seguridad social","Cuota seguridad social autónomo","€300.67"
"31/12/2024","Egreso","Salario","Salario diciembre","€1,700.00"
"31/12/2024","Egreso","Gastos oficina","Siteground renovación Hosting","€21.39"
"7/12/2024 21:05:06","Egreso","Formacion","Libertad Financiera Pro","€100.00"
"08/01/2025 14:43:59","Egreso","Suministros","Trastero","€94.50"
"09/01/2025 14:47:01","Egreso","IGIC","Igic Idobra 38-24","€31.56"
"09/01/2025 13:22:51","Egreso","IGIC","De las facturas de Viajes insular y Dicerma 39 y 40","€308.73"
"10/01/2025 13:23:48","Egreso","Suministros","Led Cajón vegetal Viajes Insular","€64.03"
"17/01/2025 13:24:49","Egreso","Formacion","Financiero","€194.29"
"18/01/2025 13:25:29","Egreso","Gastos oficina","Chat gpt","€20.19"
"22/01/2025 13:26:10","Egreso","Asesoría empresarial","Adrian Esteban","€182.68"
"23/01/2025 13:26:46","Egreso","Asesoría contable","Kaizen Asesoria","€80.00"
"24/01/2025 13:27:06","Egreso","Gasolina","Petroprix Sebadal","€28.59"
"25/01/2025 13:28:15","Egreso","Formacion","Formación inversiones","€550.00"
"25/01/2025 13:28:43","Egreso","Salario","MEdia nómina Grima","€400.00"
"30/01/2025 13:29:51","Egreso","personal operativo/administrativo","Pago a Vero y Jorge por trabajos Dicerma","€960.00"
"30/01/2025 13:31:06","Egreso","Gastos oficina","letra del ordenador","€135.15"
"30/01/2025 13:33:39","Egreso","Suministros","Luminarias exterior Amado","€132.47"
"03/02/2025 13:29:36","Egreso","Gastos de Grima","Alquiler  plaza de garaje","€55.00"
"04/02/2025 13:30:26","Egreso","Transporte","Recarga app parking","€10.00"
"05/02/2025 13:30:58","Egreso","Gastos oficina","tTastero","€94.50"
"06/02/2025 13:33:27","Egreso","Formacion","Inversiones","€150.00"
"12/02/2025 13:35:34","Egreso","Pago a provedores","Adrián. Supervisión y arreglos página web","€222.40"
"12/02/2025 13:36:43","Egreso","Almacenamiento nube","Dropbox y iCloud","€22.00"
"13/02/2025 13:37:22","Egreso","Gasolina","Petroprix sebadal","€35.10"
"31/01/2025 13:48:16","Egreso","IGIC","Modelo 415 de la Agencia tributaria Canaria","€520.26"
"17/02/2025 19:45:19","Egreso","Formacion","Formación desarrollo personal","€194.29"
"18/02/2025 19:46:00","Egreso","Suministros","Chat gpt","€19.86"
"21/02/2025 19:49:34","Egreso","personal operativo/administrativo","Veronica por apoyo en Asesoria Vecindario Viajes Insular","€231.00"
"22/02/2025 13:59:46","Egreso","Asesoría contable","Kaizen Asesores","€80.00"
"26/02/2025 14:00:37","Egreso","Formacion","Curso Financiero","€550.00"
"28/02/2025 14:01:45","Egreso","Gastos oficina","Letra ordenador","€135.15"
"28/02/2025 14:02:48","Egreso","Seguridad social","Cuota seguridad social","€301.63"
"01/03/2025 14:04:14","Egreso","Asesoría empresarial","Adrian","€179.01"
"03/03/2025 14:06:18","Egreso","Transporte","Plaza de garaje","€55.00"
"04/03/2025 14:07:10","Egreso","Gastos de Grima","Compra de sillas","€75.20"
"04/03/2025 14:08:58","Egreso","Almacenamiento nube","iCloud","€9.99"
"11/03/2025 13:52:38","Egreso","Suministros","trastero","€94.50"
"11/03/2025 13:54:32","Egreso","Almacenamiento nube","Dropbox anual","€119.88"
"12/03/2025 14:50:07","Egreso","Gasolina","Petroprix sebadal","€27.59"
